Year,Year_Rank,Song,Artist,Genre,Cover,Points,Peak,Weeks
2006,31,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1805,1,21
2006,32,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1805,7,24
2006,33,"Dance, Dance",Fall Out Boy,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1713,9,22
2006,34,Black Horse & The Cherry Tree,KT Tunstall,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1701,20,30
2006,35,London Bridge,Fergie,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1686,1,21
2006,36,Unfaithful,Rihanna,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1672,6,20
2006,37,Ain't No Other Man,Christina Aguilera,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1652,6,20
2006,38,U And Dat,E-40 Featuring T-Pain & Kandi Girl,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1630,13,25
2006,39,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1615,3,22
2006,40,What's Left Of Me,Nick Lachey,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1598,6,25
2006,41,Waiting On The World To Change,John Mayer,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1583,20,23
2006,42,Sexy Love,Ne-Yo,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1570,7,22
2006,43,Yo (Excuse Me Miss),Chris Brown,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1562,7,20
2006,44,Money Maker,Ludacris Featuring Pharrell,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1535,1,19
2006,45,Who Says You Can't Go Home,Bon Jovi,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1522,23,26
2006,46,Run It!,Chris Brown,Hip-Hop/Rap,https://cdn-images.dzcdn.net/images/cover/63b5c97788924c65ab8bbfc95467cc68/250x250-000000-80-0-0.jpg,1515,2,19
2006,47,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1491,5,19
2006,48,Because Of You,Kelly Clarkson,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1490,11,19
2006,49,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1490,12,21
2006,50,Where'd You Go,Fort Minor Featuring Holly Brook,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1488,4,20
